#NAME=latitude,longitude,absolute-altitude,heading
OSRF0=37.4003371,-122.0800351,0,353
OSRF0_PILOTSBOX=37.4003371,-122.0800351,2,270
CMAC=-35.363261,149.165230,584,353
CMAC2=-35.362889,149.165221,584,270
CMAC_South=-35.363261,149.165230,584,173
CMAC_PILOTSBOX=-35.362734,149.165300,586,270
CMAC_PILOTSBOX2=-35.362749,149.165359,584,270
Kingaroy=-26.583528,151.840440,444,169
AVC=40.0713749,-105.2297889,1583.702759,246
AVC_copter=40.072842,-105.230575,1586,0
AVC_plane=40.072842,-105.230575,1586,80
McMillan=35.718719,-120.769818,275,295
McMillan_East=35.7168007,-120.7644466,275,295
TomCarpark=26.048950,-80.254219,6,270
Ballarat=-37.598705,143.881744,485,165
CRAMS=-27.675284,152.519307,58,285 # Calvert Radio Aero Modeller's Society
3DRBerkeley=37.872991,-122.302348,20,260
BMAC=-35.226343,149.132122,588,301
LGAT=37.889063,23.731863,21,330
BHV=53.547767,8.626440,0,324
QMAC=-35.363724,149.430011,740,312
Karuizawa=36.323203,138.618215,926,0
Dalby=-27.274439,151.290064,343,8.7
RFRanch=37.118079,-2.773690,1297.88,180
KSFO=37.619373,-122.376637,5.3,118
NFSC=53.637561,9.929800,13,345
Rotherham=53.275131,-1.19404,21,360
LeeField=32.42553,-84.79109,75,260
Sterling=38.982480,-77.439567,88,90
EPIgijon=43.521902,-5.624310,22,0
PerkinsField=36.163609,-78.806864,137,20
KNUI=38.145322,-76.426652,7,70
Range11=41.360461,-74.032838,220,180
Flicker=39.018801,-104.893081,2158,180
ElliottField=34.458281,-84.180209,450,130
CobbCountyRC=34.013819,-84.724446,280,105
GrupoSicoss=19.316518,-99.220255,0,0
Garrawarra=-34.159752,150.967395,293,165
Snarbyeidet=69.775839,19.548929,87,170
Breivikeidet=69.624025,19.414047,55,235
Hata=35.671497,140.083934,6,165
TagusPark=38.740195,-9.301843,151,0
Marcopter=44.806968,11.610389,0,90
HMAS=-33.661500,150.841431,18,0
RATBeach=33.810313,-118.393867,0,270
Carstensz=-35.331302,149.132103,606,60
Skyrocket=33.982069,-118.426372,11,134
SkyViperFactory=23.021754,114.073139,13,0
KazakoshiPark=36.321909,138.596021,932,0
SKT=44.850687,-0.684029,45,0
UChicago=41.7886079,-87.59871329999999,191,0
Yachiyo=35.770481,140.107929,36,90
Tyndall=30.0142232,-85.4984701,7,0
Elvenes=68.871422,17.986690,17,256
Kawachi=35.879129,140.339683,7,0
SpringValley=-35.280252,149.005821,580.8,5
SpringValley2=-35.28240059,149.00542037,582,10
SpringValley3=-35.28240515,149.00716878,579,12.6
SpringValley4=-35.2824768,149.0071759,594.99,0
SpringValleyRoad=-35.28899126,149.00553365,603,162.7
Pyramid=29.9764,31.1339,0,0
AAMEastField=39.842288,-105.212928,1809,106
HachinoheMine=40.4539496,141.5419051,56,270
HighwayField=-33.950458,22.977709,240,300
AAMWestField=39.842218,-105.219375,1814,90.5
EliField=40.059488,-88.551314,206,37
Goretovka=55.9689,37.1101,200,290
Kris=22.74005960,120.30975281,21,0
ARACE_copter=47.5211929,18.8082355,198,55
ARACE_plane=47.5210876,18.8083948,198,55
ARACE_hand=47.5211516,18.8081607,198,55
NDRCC=33.24065965,-96.93759168,163.5,167
Boquig=16.090473,120.361478,3,0
Semisopochnoi=51.9634,179.756,120.0,90.0
Unalga=51.578,-179.0483,42.0,270.0
Rabi=-16.51273251,179.97642023,7.5,90
KFC=34.8412920,136.2154873,196.36,338
KawaguchiLake=35.4712023,138.7450261,965,90
GrandCanyon=36.146,-113.89,1425.6,90
YPG=32.976658,-114.266699,252.97,235
Yuma=32.638083,-114.403104,95,0
Williams=39.16124,-122.13187,23,0
WilliamsVtol=39.1652640,-122.131755,23,180
SCCMAS=37.1730398,-121.6815865,102,315
ARPstrip_NZ=-43.6544343,172.5031829,0,156  #Strip in New Zealand
ARPstrip_NZ_S=-43.6541316,172.5029844,0,156  #Strip in New Zealand, South takeoff
ARPstrip_NZ_N=-43.6545022,172.5031883,0,336  #Strip in New Zealand, North takeoff
CMAC_NZ_E=-43.47493266,172.318144,0,84  #Christchurch MAC, New Zealand, East takeoff
CMAC_NZ_W=-43.47493266,172.318144,0,264  #Christchurch MAC, New Zealand, West takeoff
OSPN=30.53202,-97.62892,199,7 #Old Settlers Park , Austin, TX, North takeof
OSP=30.53202,-97.62892,199,187 #Old Settlers Park , Austin, TX, South takeof
KalaupapaCliffs=21.16564233,-156.88680160,165.25,0
Portmoak=56.191,-3.323271,164,270
LakeGeorgeLookout=-35.10122092,149.37517574,708.12,90
RF_AirStadium=36.893328,-2.720371,1434,0
RF_BuenaVista=37.093686,-2.890969,2390,0
RF_Castle=37.090662,-3.074557,2736,0
RF_Garage=37.621798,-2.646596,788,0
Madera=36.9287648,-119.8498046,82,290
Peg=36.7099085,-119.4076592,141,289
SFO_Bay=37.62561973,-122.33235387,0.0,0
Egge=60.215720,10.324071,198,303
Gundaroo=-35.02349196,149.26496411,576.8,0
Kaga=36.3268982,136.3316638,44,0
UCSB=34.413963,-119.848946,0,0

#수도권 지하철역 
미사=37.560927,127.193877,30,0
강일=37.55749,127.17593,30,0
동탄=37.20034,127.09569,30,0
구성=37.29913,127.10389,30,0
성남=37.39467,127.12058,30,0
수서=37.48637,127.10161,30,0
삼성=37.50887,127.06324,30,0
서울=37.55569,126.97296,30,0
연신내=37.61878,126.9213,30,0
대곡=37.63191,126.81113,30,0
킨텍스=37.66532,126.74843,30,0
운정=37.71614,126.72841,30,0
김포공항=37.56236,126.801868,30,0
고촌=37.601243,126.770345,30,0
풍무=37.612488,126.732387,30,0
사우=37.620249,126.719731,30,0
걸포북변=37.63165,126.705975,30,0
운양=37.653867,126.68393,30,0
장기=37.643986,126.669017,30,0
마산=37.640732,126.644344,30,0
구래=37.645384,126.628633,30,0
양촌=37.642379,126.614309,30,0
원시=37.302371,126.786691,30,0
원곡=37.31321,126.796261,30,0
초지=37.319619,126.808147,30,0
선부=37.334353,126.809904,30,0
달미=37.348847,126.809409,30,0
시흥능곡=37.369864,126.808573,30,0
시흥시청=37.382223,126.805625,30,0
신현=37.409008,126.788017,30,0
신천=37.439066,126.786788,30,0
시흥대야=37.450145,126.793041,30,0
소새울=37.468467,126.797252,30,0
소사=37.483279,126.795023,30,0
신설동=37.576095,127.023242,30,0
보문=37.585286,127.019381,30,0
성신여대입구=37.592467,127.016516,30,0
정릉=37.603133,127.013396,30,0
북한산보국문=37.612072,127.008251,30,0
솔샘=37.620238,127.013626,30,0
삼양사거리=37.621337,127.020473,30,0
삼양=37.626914,127.018106,30,0
화계=37.634133,127.017511,30,0
가오리=37.641537,127.016789,30,0
4.19민주묘지=37.649502,127.013684,30,0
솔밭공원=37.65603,127.013273,30,0
북한산우이=37.662909,127.012706,30,0
탑석=37.733579,127.088704,30,0
송산=37.737279,127.087159,30,0
어룡=37.742802,127.085035,30,0
곤제=37.750471,127.083715,30,0
